target,avg_rating,avg_rating_inbound_users,in_degree,out_degree,page_rank
213,2.0,3.106060606060606,1,1,6.0977304902363566e-05
214,1.9285714285714286,1.9153577782048,14,12,0.0003494264636818482
215,2.30188679245283,1.5316563755711072,53,54,0.0012992452210304557
216,0.6666666666666666,1.7846120815425115,9,9,0.0002424345938446822
217,2.6666666666666665,2.698051948051948,3,3,8.216157602469069e-05
218,3.0,3.1363636363636362,2,1,6.485435464011483e-05
219,1.2222222222222223,1.6738388914415823,18,18,0.0003797864645676168
220,1.0,1.6666666666666667,1,0,5.580199691907814e-05
221,1.5,1.7993079363895608,8,8,0.0002282372708518037
222,1.6923076923076923,1.7284981086451674,13,12,0.0004317311429714221
223,3.5454545454545454,2.023673664683189,11,0,0.00021187618868023518
224,2.2857142857142856,2.047164678140288,7,8,0.0002669698343635235
225,1.0,2.0275697753573856,3,6,0.00012779101133794874
227,1.1666666666666667,1.6433270122208175,6,6,0.0001736395046645063
228,1.6153846153846154,1.8683776313086657,13,14,0.0003766251254311523
229,2.25,2.726986849628359,4,3,0.0001246079968358009
230,2.5625,1.3363564452024492,32,5,0.0008076373308641944
231,1.0,3.1625291375291376,4,4,0.00015557300723585061
232,3.0,2.8425925925925926,1,1,5.666780464188556e-05
233,1.6666666666666667,1.604953560371517,3,1,0.00011067735253611804
234,2.3333333333333335,2.6369714847590955,3,2,9.170714751683212e-05
235,1.9230769230769231,1.2867546141459185,13,9,0.00040368385137804185
236,1.0,1.5826086956521739,2,3,8.567400951152357e-05
237,1.0,2.1652173913043478,1,1,5.7400033622029896e-05
238,1.1666666666666667,0.08810699699446496,6,8,0.00015980010802534413
239,2.5,1.8736930348371026,8,11,0.00020179566214928316
240,2.5,2.343619162640902,4,3,0.00011588278682466342
241,4.6,1.1853912176513934,5,7,0.00017035888709018493
242,0.8125,1.3079619000646683,16,14,0.0003805801453057737
243,1.8888888888888888,1.6247848858959972,9,12,0.0002352700586048956
244,2.6,2.564861660079051,5,4,0.00018774907320376021
245,2.6363636363636362,2.1158611067935897,11,4,0.0003859203435857551
246,1.8,1.8746615689606343,5,3,0.00010293563379415361
247,1.0,3.5442477876106193,1,1,5.488433694038711e-05
248,1.5,0.9773104880581516,2,3,8.369125523218304e-05
249,1.8,1.587019335118289,20,20,0.0008677168327217233
250,3.0,2.9696969696969693,3,2,0.00014686242765207862
251,1.7777777777777777,2.403725005496685,9,8,0.00025706572528847745
252,1.0,3.106060606060606,1,1,6.0977304902363566e-05
254,2.5,2.897251018961545,4,5,0.00010039394148460143
255,1.0,3.106060606060606,1,2,6.0977304902363566e-05
256,1.606060606060606,1.6018459744572722,33,32,0.0008211763805931737
257,3.1666666666666665,2.2958727142768236,18,93,0.0004241948536598194
258,1.5,1.1931818181818183,2,2,7.554470946927676e-05
259,1.0,1.3611111111111112,2,3,8.504872436694306e-05
260,-1.6666666666666667,3.7956134600677376,3,0,8.315471456465794e-05
261,2.0,2.546374756105455,8,7,0.00023669388965718284
262,1.0,1.21868068439497,7,6,0.00019373245071777016
263,1.5,2.3205128205128203,2,2,0.00013595770815636365
264,4.5,3.1363636363636362,2,0,6.485435464011483e-05
265,2.2,2.195699408950183,5,3,0.00011739169848761311
266,1.9411764705882353,1.8182268384246518,17,18,0.0004715361759107438
267,1.0,1.8990654205607476,1,1,5.174361340239135e-05
268,3.2,2.378860028860029,5,5,0.00014531595296704352
269,2.0,2.373063973063973,5,4,0.0001353516311830342
270,1.3513513513513513,1.5841541869883997,37,47,0.0009671114880067984
271,1.0,2.8547325894574835,2,2,7.727650854671616e-05
272,1.8333333333333333,1.654924291319479,12,9,0.00027989003503899366
273,1.72,1.4480565145470763,25,27,0.0006555171550600397
274,2.0476190476190474,2.0416675986676136,21,17,0.0005233290591440432
275,2.5,2.369047619047619,2,1,6.0689229469631035e-05
276,1.8333333333333333,2.226811383061383,6,5,0.00016477055399629058
277,3.0,2.259009009009009,2,1,5.637522589825759e-05
278,4.25,2.8329710144927533,4,3,0.0001286202429039027
279,3.0,3.1363636363636362,2,1,6.485435464011483e-05
280,2.0689655172413794,1.5201369636252782,58,59,0.0013874140233261414
281,1.0,2.0689655172413794,1,0,5.499603014836575e-05
282,1.1666666666666667,0.471131758936637,6,5,0.00028128968186823353
283,2.466666666666667,1.9563768658321503,15,13,0.0004064068378461429
284,3.125,2.3350987496447857,8,10,0.00020445622131980045
285,1.5,1.9715520898854233,6,6,0.00026747581794018014
286,1.0,1.994373401534527,2,2,7.83834066837689e-05
287,1.0,1.606060606060606,1,1,5.682035962520715e-05
288,0.7142857142857143,1.5071743036837375,7,7,0.00017744841687050757
289,2.0,2.1652173913043478,1,1,5.7400033622029896e-05
290,1.0,2.30188679245283,1,1,5.5458944198588256e-05
291,1.0,2.6363636363636362,1,1,0.00011701593502766438
292,1.5,2.296894409937888,2,1,7.772180626281953e-05
293,0.5,0.6241092892289889,6,4,0.00020012414056282913
294,1.0,2.8425925925925926,1,1,5.666780464188556e-05
295,2.0952380952380953,1.9198503215094433,21,24,0.0005930519963792977
296,3.1666666666666665,2.289782038675844,6,1,0.0001786834133604123
297,2.3333333333333335,2.318376068376068,3,2,9.247661179481765e-05
298,1.8,2.01929346092504,10,8,0.00039541556939421096
299,1.5,2.453030303030303,2,2,0.00010299020915049754
300,5.0,4.989371980676329,3,3,0.00014159732067632212
301,1.75,1.65,4,4,0.0001960764932597562
302,1.0,2.057142857142857,1,0,5.898006798591215e-05
303,1.0,0.3010752688172043,1,1,5.114744228692248e-05
304,2.24,1.452227951319748,100,104,0.0021980194422666585
305,1.0,1.1666666666666667,1,1,8.28271079333016e-05
306,1.0,1.1666666666666667,1,1,8.28271079333016e-05
307,1.0,0.9571428571428571,2,1,8.950093061724225e-05
308,1.6153846153846154,1.9191317781731791,13,11,0.00027750570756213377
309,0.8823529411764706,1.6239777414009826,34,45,0.0006843147976040747
310,-5.142857142857143,2.146518054740561,7,4,0.00015695952043143755
311,1.0,3.5442477876106193,1,1,5.488433694038711e-05
312,1.5454545454545454,1.599483797417968,11,12,0.00028804834356968415
313,1.0,2.3905723905723906,2,3,7.371221952294907e-05
314,3.0,3.0046296296296298,2,2,6.05448543796364e-05
315,-4.5,2.6948051948051948,2,0,0.00011139134492990593
316,1.0,1.4465579710144927,2,2,7.610603687378471e-05
317,1.0,1.860084541062802,4,4,0.00012053397099197235
318,1.25,1.4508764262053735,4,6,0.0001063743711013866
319,1.5,1.704229797979798,8,8,0.0002971245686809749
320,2.4,0.8386863873589536,5,5,0.00013335326149670787
321,2.3333333333333335,2.131241750683916,6,5,0.00015631205736969556
322,1.875,1.9891927588905443,8,11,0.00023323243877159178
323,1.0,1.8,1,1,7.188582740637522e-05
324,1.0,1.64743168459614,5,5,0.00016209064158503885
325,1.0,0.9274970780853132,11,12,0.0003603127182724979
326,1.0,2.8425925925925926,1,1,5.666780464188556e-05
327,1.0,2.0476190476190474,1,1,6.117431497289859e-05
328,4.0,2.25036075036075,3,1,8.84246337817294e-05
329,1.0,1.875,1,1,5.303036864805103e-05
330,2.3333333333333335,1.8560085155258323,9,7,0.00019924743494421137
331,3.0,2.083333333333333,2,1,7.200584183198985e-05
332,2.0,2.8611111111111107,2,3,6.426860358055235e-05
333,5.0,3.1666666666666665,1,1,3.888491175345175e-05
334,3.0,3.1666666666666665,1,0,3.888491175345175e-05
335,5.0,3.1666666666666665,1,0,3.888491175345175e-05
336,3.0,3.1666666666666665,1,0,3.888491175345175e-05
337,5.0,3.1666666666666665,1,0,3.888491175345175e-05
338,5.0,3.1666666666666665,1,0,3.888491175345175e-05
339,2.5,1.611111111111111,2,3,7.083255358324319e-05
340,3.0,2.715925015925016,6,5,0.0001498365884482158
341,4.0,3.1666666666666665,1,0,3.888491175345175e-05
342,2.4375,1.8175935582427563,16,17,0.00030431410349760374
343,4.0,3.1666666666666665,1,0,3.888491175345175e-05
344,5.0,3.1666666666666665,1,0,3.888491175345175e-05
345,1.5,2.1377314814814814,4,4,0.0001251997235780004
346,1.5,1.713418929555293,22,25,0.0006261712716764281
347,0.125,1.6497531242310988,8,4,0.0002165055957026131
348,1.5,1.559052059052059,4,3,0.000133320392467182
349,1.0,1.8,1,1,7.188582740637522e-05
350,1.5714285714285714,1.6442959943975275,28,27,0.0006812594462204924
351,2.6666666666666665,2.653086419753086,3,2,8.088020759083307e-05
352,2.0,3.111111111111111,1,2,5.239842221449923e-05
353,1.6470588235294117,1.4836669691543503,85,86,0.0017645603599731076
354,1.0,2.8425925925925926,1,1,5.666780464188556e-05
355,1.0,0.3010752688172043,1,1,5.114744228692248e-05
356,1.5,2.265329257691705,4,4,0.00015537409085064174
357,1.25,1.4446115288220551,4,3,0.00013097378144403797
358,3.0,2.5039049919484704,2,2,7.905997624821362e-05
359,1.5833333333333333,1.6654834212539462,12,11,0.00026428975324157986
360,3.5,2.333333333333333,2,1,7.677731929497588e-05
361,1.7446808510638299,1.5451436110112813,47,80,0.0008948252123517663
362,4.0,3.1666666666666665,1,0,3.888491175345175e-05
363,2.257142857142857,1.4917292086564902,35,35,0.0008917511952770214
364,4.0,3.1666666666666665,1,0,3.888491175345175e-05
365,2.0,2.3364197530864197,3,2,0.00014137226942149625
366,1.2,1.491978634902628,5,7,0.00015321111204234317
367,1.0,1.8,1,1,7.188582740637522e-05
368,1.0,2.8425925925925926,1,1,5.666780464188556e-05
369,4.0,3.1666666666666665,1,0,3.888491175345175e-05
370,1.0,1.5,1,1,6.802485632145207e-05
371,1.0,1.8,1,2,7.188582740637522e-05
372,1.8333333333333333,1.672109761583446,6,6,0.0002246353389680143
373,4.0,3.1666666666666665,1,0,3.888491175345175e-05
374,0.5454545454545454,1.4202203332808006,11,10,0.00029342239073247415
375,2.3333333333333335,1.7319688109161795,3,2,8.240947868491209e-05
376,6.0,3.1666666666666665,1,0,3.888491175345175e-05
377,2.0,2.1409310496267016,3,2,8.5639225169129e-05
378,1.0,1.4483288908854948,10,8,0.00026276176777978726
379,1.0,1.875,1,1,5.303036864805103e-05
380,1.0,1.7330996884735201,4,3,0.00012848943018944935
381,4.0,3.1666666666666665,1,0,3.888491175345175e-05
382,1.0,0.8823529411764706,1,1,4.7933808192668717e-05
383,0.05555555555555555,1.6310488715078089,18,16,0.0006013673756195824
384,1.9166666666666667,1.7777843158937439,12,12,0.0003278768948766159
385,1.0,1.8333333333333333,1,1,6.683120170283636e-05
386,1.0909090909090908,1.5375183875981484,11,10,0.00028661343305117577
387,0.8333333333333334,1.3979910743243977,18,17,0.00046906057352787237
388,1.0,1.2,1,1,7.645128820762984e-05
389,1.0,2.1166666666666667,2,2,9.369163314986708e-05
390,1.8888888888888888,1.5136784249556836,9,10,0.000287855353728226
391,1.0,1.8888888888888888,1,1,5.947556708260035e-05
392,2.3333333333333335,1.55,3,2,0.00011004799717918716
393,1.3636363636363635,1.531667359764279,11,12,0.0003269127011743505
394,2.0,1.8987189289205417,12,11,0.0003840953335643101
395,2.727272727272727,1.1389832863546034,11,23,0.00023076584187728248
396,0.5833333333333334,1.834884584331487,12,11,0.00032255947561087733
397,5.0,3.1666666666666665,1,5,3.888491175345175e-05
398,5.0,1.5,1,1,5.62976852526996e-05
399,1.2222222222222223,1.3821136110562533,18,16,0.0004973066240533915
400,5.0,3.1666666666666665,1,1,3.888491175345175e-05
401,1.75,1.5762406842818428,8,8,0.0003407313431207256
402,1.0,1.4229007082785587,8,8,0.00026610800837171265
403,1.0,1.8235294117647058,1,1,5.5991235077440125e-05
404,1.1666666666666667,1.5123329067375912,6,6,0.00016829701554351095
405,0.7894736842105263,0.8132198744626625,19,19,0.0005885470764191164
406,2.0,2.02991452991453,3,3,0.00012903273531588154
407,1.0,1.7451690821256038,2,0,7.303697926036322e-05
408,1.4285714285714286,1.558600830456393,14,11,0.00034124927780292813
409,1.0,1.4641711229946524,3,3,0.0001142951347063364
410,-6.0,1.8577492877492876,5,4,0.0001416204616063308
411,1.0,1.9027513227513229,3,3,0.0001077798997359931
412,0.9,-0.02201946101946097,10,8,0.0004351815062365109
413,5.0,3.1666666666666665,1,0,3.888491175345175e-05
414,4.0,3.1666666666666665,1,1,3.888491175345175e-05
415,2.1,1.8252880138253993,20,18,0.0005507888522483313
416,1.6875,1.4716671188791304,16,16,0.00041035062733903134
417,2.7142857142857144,2.0181862534803714,7,8,0.00016690667715578552
418,1.7857142857142858,1.7891837472854388,14,13,0.0004130467950547652
419,1.7142857142857142,1.5808939737511165,7,7,0.00024921656400608
420,6.0,3.1666666666666665,1,0,3.888491175345175e-05
421,1.2,1.509976970649537,5,6,0.00015798042524619782
422,5.0,3.1666666666666665,1,0,3.888491175345175e-05
423,-0.2857142857142857,1.2817892188097362,7,6,0.00022544008081706274
424,1.3333333333333333,2.3502374169040836,3,3,8.249054387814137e-05
425,1.56,1.146200390948813,25,31,0.00047993021028073883
426,4.0,3.1666666666666665,1,0,3.888491175345175e-05
427,1.6363636363636365,1.5510466988727858,11,16,0.00031601067510310534
428,1.5,0.7014445300462249,4,2,0.00013936070289014067
429,1.0,2.8425925925925926,1,1,5.666780464188556e-05
430,1.0,2.0,1,1,6.468795597294325e-05
431,2.5,3.355457227138643,2,1,5.876138667813817e-05
432,1.0,1.5642857142857143,2,3,7.836310965545055e-05
433,1.4,1.2221782964197825,5,5,0.00014761678321625833
434,1.0,2.30188679245283,1,1,5.5458944198588256e-05
435,1.0,2.209090909090909,2,2,8.091385099795841e-05
436,1.3076923076923077,1.8228917693647253,13,13,0.0003458936606188887
437,1.3333333333333333,2.0371430752786686,3,1,0.000115529631550749
438,1.0,2.3971238938053094,2,2,8.195033683929317e-05
439,1.0,1.4166666666666665,2,6,6.967816792738584e-05
440,1.5,1.9212962962962963,2,2,8.731795087543196e-05
441,1.875,1.9047813036020582,8,8,0.00019453219714134885
442,1.0,3.5442477876106193,1,1,5.488433694038711e-05
443,1.8461538461538463,1.572972927455686,13,16,0.00040424498783377485
444,1.0,1.5,1,2,7.211799113776024e-05
445,1.0,1.2,1,1,6.118961552724046e-05
446,2.0526315789473686,1.8028895222335164,19,20,0.00043017006382968325
447,4.666666666666667,2.558158883521202,3,3,0.00011171768823955533
448,4.75,2.542106829340872,4,3,0.00011231645957861465
449,1.25,1.9968577013068538,4,2,0.00010326118614072122
450,1.0,2.257142857142857,1,1,5.666467675814264e-05
451,5.5,1.4351395730706076,2,2,7.498264820559027e-05
452,0.9047619047619048,1.7255727241016554,21,21,0.0005165648703960263
453,1.0,1.432950191570881,3,3,0.000138854916078672
454,1.3333333333333333,1.6666666666666667,3,3,0.000154582475490229
455,1.1,1.8697411477411479,10,8,0.0002509277450740721
456,2.0,1.8461538461538463,1,1,5.648337699437038e-05
457,1.0,1.54,1,2,6.35814382475242e-05
458,1.0,1.6995327102803737,2,2,7.30334366393903e-05
459,1.0,2.58974358974359,2,4,8.730127565846847e-05
460,1.5,2.587962962962963,2,5,9.169183308297473e-05
461,2.0,1.5333333333333334,1,1,6.808209348674495e-05
462,1.5333333333333334,1.2317468334135,15,13,0.0005058411872041967
463,-1.0,0.5925495634309194,5,4,0.0001561855238020183
464,1.25,1.8608283020428418,4,5,0.00015921176411118066
465,2.142857142857143,1.6285747002091946,14,11,0.00035644006588423147
466,2.0,3.2222222222222223,2,2,8.321632087859684e-05
467,-3.75,1.279853620955316,4,3,0.00013094000201206767
468,1.9830508474576272,1.37102209507307,59,62,0.0015358726967887317
469,1.2857142857142858,1.5751707659498773,14,15,0.00037056354165129025
470,1.0,1.705811138014528,2,2,8.243344362155071e-05
471,1.0,0.9,1,1,8.124589705332908e-05
472,-3.7333333333333334,1.489588130948689,15,4,0.0003839181511033738
473,1.0,2.8425925925925926,1,1,5.666780464188556e-05
474,2.0,1.5333333333333334,1,1,6.808209348674495e-05
475,3.3333333333333335,1.8091760821468985,9,9,0.00032630716232575605
476,1.125,1.6039912518037518,16,16,0.0004342675886071406
477,1.0,1.385863208746504,3,2,0.00010480876157548853
478,1.6666666666666667,3.27,3,2,0.0001036403614308273
479,1.6,1.6877272727272725,5,6,0.00017960084270951995
480,1.6,1.3556040416339523,15,16,0.00044020011189854525
481,0.972972972972973,0.24466609493405578,37,36,0.0006421596085825322
482,1.0,0.05555555555555555,1,1,6.695550384549167e-05
483,2.0,1.5333333333333334,1,0,6.808209348674495e-05
484,1.9090909090909092,1.6737960072767217,22,26,0.0006567268866217064
485,1.0,2.24,1,1,5.297244399576359e-05
486,1.25,2.1380910858419573,4,4,0.00010959529583389792
487,1.0,0.9118357487922706,2,0,8.498321305882221e-05
488,1.0,1.6604987506615956,9,9,0.00024956576611639
489,2.6,1.7963971597400115,10,10,0.0002857018622320048
490,6.0,2.0833333333333335,2,3,0.00010395334546721946
491,2.111111111111111,1.848335386889507,18,19,0.00045211629981996136
492,1.6037735849056605,1.590938866116603,53,50,0.001334685417571036
493,2.7058823529411766,1.2345236071876968,17,18,0.00038619417264902374
494,2.0,1.9131704812746586,8,9,0.00021666924742173984
